state,city,lat,lon
CT,Abington,41.8473,-72.0253
CT,Amston,41.629,-72.3646
CT,Andover,41.7332,-72.3767
CT,Ansonia,41.3427,-73.0742
CT,Ashford,41.889,-72.1476
CT,Avon,41.7905,-72.8653
CT,Ballouville,41.8768,-71.8612
CT,Baltic,41.6263,-72.0775
CT,Bantam,41.7215,-73.252
CT,Barkhamsted,41.9293,-72.914
CT,Beacon Falls,41.4369,-73.0597
CT,Berlin,41.6215,-72.7457
CT,Bethany,41.4262,-73.0007
CT,Bethel,41.3813,-73.4008
CT,Bethlehem,41.6387,-73.2091
CT,Bishops Cor,41.7918,-72.7188
CT,Bishops Corner,41.7918,-72.7188
CT,Bloomfield,41.8316,-72.7249
CT,Bolton,41.7689,-72.4396
CT,Botsford,41.3665,-73.2571
CT,Bozrah,41.5472,-72.1775
CT,Branford,41.28,-72.8106
CT,Bridgeport,41.1804,-73.1941
CT,Bridgewater,41.5287,-73.3609
CT,Bristol,41.677,-72.9398
CT,Brm,41.02,-73.62
CT,Broad Brook,41.9042,-72.5444
CT,Brookfield,41.465,-73.398
CT,Brookfld Ctr,41.465,-73.398
CT,Brooklyn,41.7807,-71.9541
CT,Burlington,41.7573,-72.9444
CT,Canaan,42.0248,-73.3232
CT,Canterbury,41.6844,-72.001
CT,Canton,41.8384,-72.8987
CT,Canton Center,41.8539,-72.9028
CT,Centerbrook,41.3474,-72.4173
CT,Central Village,41.7229,-71.9067
CT,Central Vlg,41.7229,-71.9067
CT,Chaplin,41.8026,-72.1372
CT,Cheshire,41.4567,-72.9121
CT,Chester,41.4049,-72.4643
CT,Clinton,41.2912,-72.528
CT,Cobalt,41.5667,-72.5581
CT,Colchester,41.5314,-72.3083
CT,Colebrook,41.9895,-73.0957
CT,Collinsville,41.8449,-72.9135
CT,Columbia,41.6973,-72.3072
CT,Cornwall,41.8281,-73.3323
CT,Cornwall Brg,41.8187,-73.371
CT,Cornwall Bridge,41.8187,-73.371
CT,Cos Cob,41.053,-73.5935
CT,Coventry,41.7822,-72.3332
CT,Cromwell,41.6105,-72.6663
CT,Danbury,41.3705,-73.4267
CT,Danielson,41.7982,-71.8807
CT,Darien,41.0768,-73.4853
CT,Dayville,41.854,-71.8683
CT,Deep River,41.373,-72.5099
CT,Derby,41.3229,-73.08
CT,Durham,41.465,-72.6875
CT,E Glastonbury,41.6889,-72.5345
CT,E Killingly,41.8452,-71.8026
CT,E Windsor Hl,41.8592,-72.603
CT,E Woodstock,41.9843,-71.981
CT,East Berlin,41.6128,-72.719
CT,East Canaan,42.0158,-73.2913
CT,East Glastonbury,41.6889,-72.5345
CT,East Granby,41.9322,-72.7459
CT,East Haddam,41.4696,-72.4059
CT,East Hampton,41.5761,-72.5093
CT,East Hartford,41.7778,-72.6665
CT,East Hartland,42.0016,-72.9242
CT,East Haven,41.3077,-72.8968
CT,East Killingly,41.8452,-71.8026
CT,East Lyme,41.3765,-72.237
CT,East Windsor,41.9099,-72.6029
CT,East Windsor Hill,41.8592,-72.603
CT,East Woodstock,41.9843,-71.981
CT,Eastford,41.8771,-72.0895
CT,Easton,41.2523,-73.2871
CT,Ellington,41.9114,-72.4626
CT,Enfield,41.9826,-72.5785
CT,Essex,41.3549,-72.3965
CT,Fabyan,42.0198,-71.9417
CT,Fairfield,41.177,-73.2472
CT,Falls Village,41.9559,-73.3632
CT,Farmington,41.7707,-72.7597
CT,Gales Ferry,41.4343,-72.0314
CT,Gaylordsville,41.6486,-73.4835
CT,Georgetown,41.2555,-73.4279
CT,Gilman,41.5795,-72.1963
CT,Glasgo,41.5831,-71.855
CT,Glastonbury,41.7073,-72.5727
CT,Goshen,41.8335,-73.2429
CT,Granby,41.9602,-72.7994
CT,Greens Farms,41.1238,-73.3195
CT,Greenwich,41.036,-73.6335
CT,Griswold,41.6052,-71.9808
CT,Grosvenor Dale,41.9711,-71.8917
CT,Grosvenor Dl,41.9711,-71.8917
CT,Groton,41.3785,-72.0742
CT,Guilford,41.3154,-72.6968
CT,Haddam,41.4627,-72.505
CT,Haddam Neck,41.5761,-72.5093
CT,Hadlyme,41.4212,-72.4141
CT,Hamden,41.3596,-72.9227
CT,Hampton,41.7671,-72.0662
CT,Hanover,41.6445,-72.0677
CT,Hartford,41.7771,-72.7016
CT,Harwinton,41.7625,-73.0655
CT,Hawleyville,41.4276,-73.3551
CT,Hebron,41.6842,-72.3986
CT,Higganum,41.4682,-72.5751
CT,Huntington,41.3047,-73.1294
CT,Ivoryton,41.3421,-72.4404
CT,Jewett City,41.6052,-71.9808
CT,Kensington,41.6215,-72.7457
CT,Kent,41.7316,-73.4583
CT,Killingly,41.8427,-71.8638
CT,Killingworth,41.3696,-72.5712
CT,Lakeside,41.6754,-73.242
CT,Lakeville,41.9516,-73.4377
CT,Lebanon,41.633,-72.244
CT,Ledyard,41.4579,-71.9765
CT,Lisbon,41.6052,-71.9808
CT,Litchfield,41.7541,-73.2
CT,Lyme,41.3347,-72.3086
CT,Madison,41.309,-72.6153
CT,Manchester,41.7815,-72.5242
CT,Mansfield Center,41.7862,-72.1692
CT,Mansfield Ctr,41.7862,-72.1692
CT,Mansfield Depot,41.7993,-72.3065
CT,Mansfield Dpt,41.7993,-72.3065
CT,Marion,41.5637,-72.9257
CT,Marlborough,41.6412,-72.4609
CT,Mashantucket,41.4757,-71.9574
CT,Melrose,41.9042,-72.5444
CT,Meriden,41.5378,-72.8062
CT,Middle Haddam,41.554,-72.5501
CT,Middlebury,41.5343,-73.1131
CT,Middlefield,41.5168,-72.7186
CT,Middletown,41.5567,-72.6617
CT,Milford,41.2257,-73.0648
CT,Milldale,41.5659,-72.8918
CT,Monroe,41.3312,-73.2243
CT,Montville,41.479,-72.1512
CT,Moodus,41.5078,-72.4419
CT,Moosup,41.721,-71.885
CT,Morris,41.6881,-73.1765
CT,Mystic,41.3529,-71.977
CT,N Branford,41.3323,-72.7809
CT,N Franklin,41.6161,-72.1425
CT,N Grosvenordl,41.9786,-71.902
CT,N Stonington,41.4531,-71.8727
CT,N Westchester,41.5809,-72.4012
CT,Naugatuck,41.492,-73.0493
CT,New Britain,41.6696,-72.7851
CT,New Canaan,41.1455,-73.4922
CT,New Fairfield,41.473,-73.4978
CT,New Hartford,41.8468,-73.0104
CT,New Haven,41.3237,-72.9289
CT,New London,41.3507,-72.1062
CT,New Milford,41.5817,-73.4128
CT,New Preston,41.6923,-73.3342
CT,New Preston Marble Dale,41.6923,-73.3342
CT,Newington,41.7389,-72.7242
CT,Newtown,41.3931,-73.3167
CT,Niantic,41.3253,-72.2108
CT,Norfolk,41.9854,-73.1992
CT,North Branford,41.3323,-72.7809
CT,North Canton,41.8997,-72.8907
CT,North Franklin,41.6161,-72.1425
CT,North Granby,42.0219,-72.8409
CT,North Grosvenordale,41.9786,-71.902
CT,North Haven,41.3822,-72.8585
CT,North Stonington,41.4531,-71.8727
CT,North Westchester,41.5809,-72.4012
CT,North Windham,41.7738,-72.1487
CT,Northfield,41.7077,-73.109
CT,Northford,41.3962,-72.7809
CT,Norwalk,41.16,-73.4053
CT,Norwich,41.5297,-72.0392
CT,Oakdale,41.4706,-72.1904
CT,Oakville,41.5909,-73.0873
CT,Old Greenwich,41.0354,-73.5673
CT,Old Lyme,41.3347,-72.3086
CT,Old Mystic,41.3882,-71.9495
CT,Old Saybrook,41.2913,-72.385
CT,Oneco,41.6937,-71.8084
CT,Orange,41.2815,-73.0287
CT,Oxford,41.4202,-73.1296
CT,Pawcatuck,41.3735,-71.8478
CT,Pequabuck,41.6699,-72.9915
CT,Pine Meadow,41.8765,-72.967
CT,Plainfield,41.6775,-71.922
CT,Plainville,41.6727,-72.8644
CT,Plantsville,41.5797,-72.899
CT,Pleasant Valley,41.9293,-72.914
CT,Pleasant Vly,41.9293,-72.914
CT,Plymouth,41.6611,-73.0449
CT,Pomfret,41.889,-71.9682
CT,Pomfret Center,41.8697,-71.982
CT,Pomfret Ctr,41.8697,-71.982
CT,Poquonock,41.9048,-72.6787
CT,Portland,41.5852,-72.6128
CT,Preston,41.5224,-71.9934
CT,Prospect,41.5022,-72.9788
CT,Putnam,41.9185,-71.8968
CT,Quaker Hill,41.4032,-72.1172
CT,Quinebaug,42.0217,-71.9391
CT,Redding,41.2711,-73.3863
CT,Redding Center,41.3025,-73.3839
CT,Redding Ctr,41.3025,-73.3839
CT,Redding Ridge,41.314,-73.3504
CT,Ridgefield,41.2896,-73.4977
CT,Ridgeway,41.0888,-73.5435
CT,Riverside,41.038,-73.5811
CT,Riverton,41.9686,-73.0145
CT,Rockfall,41.5345,-72.6997
CT,Rocky Hill,41.6583,-72.6632
CT,Rogers,41.8391,-71.9063
CT,Roxbury,41.5509,-73.2993
CT,S Glastonbury,41.6571,-72.5722
CT,S Willington,41.8554,-72.3015
CT,S Woodstock,41.9439,-71.9453
CT,Salem,41.4966,-72.2725
CT,Salisbury,42.0015,-73.4215
CT,Sandy Hook,41.4087,-73.2485
CT,Scotland,41.7314,-72.0766
CT,Seymour,41.4032,-73.1056
CT,Sharon,41.8714,-73.4578
CT,Shelton,41.3047,-73.1294
CT,Sherman,41.5714,-73.4947
CT,Silver Lane,41.7918,-72.7188
CT,Simsbury,41.8759,-72.8012
CT,Somers,41.9978,-72.4583
CT,Somersville,41.9765,-72.4906
CT,South Britain,41.4709,-73.2515
CT,South Glastonbury,41.6571,-72.5722
CT,South Kent,41.6951,-73.469
CT,South Lyme,41.2967,-72.2633
CT,South Willington,41.8554,-72.3015
CT,South Windham,41.6677,-72.1681
CT,South Windsor,41.8341,-72.5576
CT,South Woodstock,41.9439,-71.9453
CT,Southbury,41.4767,-73.2241
CT,Southington,41.6052,-72.8727
CT,Southport,41.1428,-73.2884
CT,Stafford,41.9848,-72.289
CT,Stafford Spgs,41.9661,-72.2899
CT,Stafford Springs,41.9661,-72.2899
CT,Staffordville,41.9916,-72.2577
CT,Stamford,41.0651,-73.54
CT,Sterling,41.7156,-71.8196
CT,Stevenson,41.3866,-73.1872
CT,Stonington,41.3664,-71.9155
CT,Storrs,41.7991,-72.2519
CT,Storrs Manfld,41.7991,-72.2519
CT,Storrs Mansfield,41.7991,-72.2519
CT,Stratford,41.1943,-73.128
CT,Suffield,41.9859,-72.6463
CT,Taconic,42.032,-73.4038
CT,Taftville,41.5653,-72.0529
CT,Tariffville,41.9077,-72.7678
CT,Terryville,41.6762,-73.0092
CT,Thomaston,41.6932,-73.0988
CT,Thompson,41.9803,-71.8376
CT,Tolland,41.8696,-72.3718
CT,Torrington,41.7794,-73.0822
CT,Travlers Insurance,41.54,-72.8
CT,Trumbull,41.2564,-73.2111
CT,Uncasville,41.4622,-72.1126
CT,Union,41.9661,-72.2899
CT,Unionville,41.7542,-72.9056
CT,Vernon,41.8365,-72.4633
CT,Vernon Rockville,41.8365,-72.4633
CT,Vernon Rockvl,41.8365,-72.4633
CT,Versailles,41.6016,-72.0404
CT,Voluntown,41.5831,-71.855
CT,W Haven,41.2701,-72.9638
CT,Wallingford,41.395,-72.8892
CT,Warren,41.7555,-73.3526
CT,Warrenville,41.889,-72.1476
CT,Washington,41.6296,-73.2884
CT,Washington Depot,41.6574,-73.3131
CT,Washington Dt,41.6574,-73.3131
CT,Waterbury,41.5566,-73.0381
CT,Waterford,41.3384,-72.1379
CT,Watertown,41.5983,-73.1047
CT,Wauregan,41.7445,-71.9133
CT,Weatogue,41.8372,-72.8253
CT,West Cornwall,41.8689,-73.3313
CT,West Granby,41.9556,-72.862
CT,West Hartford,41.7732,-72.7271
CT,West Hartfrd,41.7738,-72.7308
CT,West Hartland,42.0076,-72.9707
CT,West Haven,41.2701,-72.9638
CT,West Mystic,41.3441,-71.9765
CT,West Redding,41.2711,-73.3863
CT,West Simsbury,41.8718,-72.8577
CT,West Suffield,42.0115,-72.7362
CT,Westbrook,41.2927,-72.4563
CT,Weston,41.2195,-73.3715
CT,Westport,41.1837,-73.3545
CT,Wethersfield,41.753,-72.689
CT,Whitneyville,41.3484,-72.9117
CT,Willimantic,41.7149,-72.2134
CT,Willington,41.8944,-72.2626
CT,Wilton,41.2018,-73.4383
CT,Winchester Center,41.9107,-73.1063
CT,Winchestr Ctr,41.9107,-73.1063
CT,Windham,41.7027,-72.1526
CT,Windsor,41.8543,-72.6538
CT,Windsor Locks,41.9261,-72.6458
CT,Windsorville,41.9042,-72.5444
CT,Winsted,41.9273,-72.9901
CT,Wolcott,41.5737,-72.9896
CT,Woodbridge,41.3082,-72.9282
CT,Woodbury,41.5521,-73.2083
CT,Woodstock,41.9602,-72.004
CT,Woodstock Valley,41.9153,-72.0937
CT,Woodstock Vly,41.9153,-72.0937
CT,Yalesville,41.46,-72.8222
CT,Yantic,41.5598,-72.1237
MA,Abington,42.1167,-70.9543
MA,Accord,42.1745,-70.8837
MA,Acton,42.4839,-71.4663
MA,Acushnet,41.6955,-70.9221
MA,Adams,42.6223,-73.1172
MA,Agawam,42.0702,-72.6227
MA,Alford,42.3348,-73.3825
MA,Allston,42.3535,-71.1329
MA,Amesbury,42.8559,-70.9367
MA,Amherst,42.3885,-72.5084
MA,Andover,42.6499,-71.1692
MA,Aquinnah,41.3575,-70.7416
MA,Arlington,42.4182,-71.1659
MA,Arlington Heights,42.4204,-71.1801
MA,Arlington Hts,42.4204,-71.1801
MA,Ashburnham,42.6496,-71.9267
MA,Ashby,42.6745,-71.8174
MA,Ashfield,42.5232,-72.811
MA,Ashland,42.2539,-71.4583
MA,Ashley Falls,42.0596,-73.3202
MA,Assonet,41.7975,-71.0607
MA,At&t,42.47,-71.15
MA,Athol,42.5959,-72.2267
MA,Attleboro,41.9296,-71.3009
MA,Attleboro Falls,41.9726,-71.3082
MA,Attleboro Fls,41.9726,-71.3082
MA,Auburn,42.2055,-71.8391
MA,Auburndale,42.3441,-71.248
MA,Avon,42.1258,-71.0437
MA,Ayer,42.5488,-71.5952
MA,Babson Park,42.2987,-71.2595
MA,Baldwinville,42.5936,-72.0646
MA,Barnstable,41.6983,-70.3001
MA,Barre,42.4097,-72.1084
MA,Bass River,41.6739,-70.1949
MA,Bay State Village,42.3219,-72.6928
MA,Bay State Vlg,42.3219,-72.6928
MA,Becket,42.3594,-73.1203
MA,Bedford,42.4737,-71.2809
MA,Belchertown,42.2751,-72.411
MA,Bellingham,42.0746,-71.4768
MA,Belmont,42.3959,-71.1787
MA,Berkley,41.8353,-71.0765
MA,Berkshire,42.5126,-73.1929
MA,Berlin,42.3844,-71.6356
MA,Bernardston,42.6952,-72.5772
MA,Beverly,42.5608,-70.8759
MA,Billerica,42.5551,-71.2604
MA,Blackstone,42.0287,-71.5269
MA,Blandford,42.1829,-72.9361
MA,Bolton,42.4365,-71.6076
MA,Bondsville,42.2061,-72.3405
MA,Boston,42.3388,-71.0586
MA,Boston Clg,42.3164,-71.1612
MA,Boston College,42.3164,-71.1612
MA,Bourne,41.7455,-70.5905
MA,Boxboro,42.4914,-71.5177
