company_id	stage	company_name
51771351950	Pass	East Coast Lock and Alarm
56299086900	Pass	Locks & Keys
50614022024	Pass	360 Degrees
54941372778	Management Meeting	Abbey Locksmiths
55421774417	Initial Meeting	Able Fire Prevention
50182894253	Pass	Academy Mailbox & Intercom
50687007341	Pass	Accessia
57248214188	Pass	Accurate Electronics
53656641196	On Hold	ADRM
50597653067	On Hold	ADR Security
52194982724	Pass	Advanced Alarm
50687851906	Pass	Advance Lock & Key
56481535854	On Hold	Alpha Locksmith and Security
54941338248	Initial Meeting	Ambush Alarm & Electronics, Inc.
54941607245	Pass	Amcest
52838924147	Pass	Baldino's Lock & Key
54997881216	Pass	Best Monitoring
57329847826	IOI	Boston Fire Sprinkler
56481531291	Pass	Brookhill
51054995014	Pass	Central Security Integration
55930362717	Pass	Central Lock
54789998670	Pass	Central Home Systems
50631450646	BROKER	Corum Group
54176706973	Pass	Covert Security
50691230895	Pass	DAQ
54896194677	Pass	Dash Lock & Key
57811844516	BROKER	DGP Capital
55212004002	On Hold	Dynamic Protection Systems
54754156307	Due Diligence	Eastern American Technologies
56491140185	On Hold	EMS Communications Inc.
52886133116	Pass	ePropertyCare
54770242872	Pass	FBS Security Systems
51722011308	On Hold	FCS Metro
54482411860	BROKER	Flatirons Capital Advisors
52951039079	Pass	Georgetown Protective Services
57900565833	BROKER	Hedgestone Advisors
54896488314	Pass	Hoboken Lock
54754630188	Pass	Homeland Surveillance
56293978115	Pass	Houdini Lock & Alarm
52188739734	Management Meeting	IDR Technology
56273812062	Pass	Interstate Security (Carneval's)
55460646196	On Hold	Kaploss Security
55895787856	Pass	Keys4Less
52948095297	Pass	Keystone Security
51872790297	On Hold	Kintronics Inc
54187208226	Pass	Laser Central Alarms Inc
50927894847	Initial Meeting	L.I. Locksmith & Alarm Co., Inc.
57527768083	Initial Meeting	Lock City NYC
54896380502	Pass	Locksmith Solutions
50623705721	On Hold	MacKenzie Door Company
53615446683	Pass	Madison Security Group, Inc.
53490467948	Pass	MDI Security
51696758105	On Hold	MDU Security
50636712715	Pass	Merrick Master Locksmith
56514863531	On Hold	Metro Access Control
54896488551	Pass	Omni Data
51929197928	Pass	NCD Communications
57783627344	IOI	New York City Alarm Corporation
52187810975	On Hold	Northeast Security Solutions
56289075606	Initial Meeting	NSG Life Safety
50927590522	Closed	Cosmic Fischer
50928017161	Pass	NYC Intercom
51780497513	Pass	NYCONN Security Systems Inc
50927590532	Pass	Highline Integrated Security
53733996100	On Hold	Oneida Fire Protection
50927894840	Due Diligence	Paragon Security & Locksmith
51367814490	Pass	Parker Custom Security
52189514065	Pass	Peloda
51291859841	Pass	Peace Of Mind Technologies
56131074738	Management Meeting	Precision Lock & Safe
54553988195	On Hold	Pro Locksmith & Security Inc.
57374101594	On Hold	Protection Technologies LLC
57793358336	Pass	Roundtable Solutions Security
50924150042	On Hold	Sabre
56509578608	Pass	Seamless Technologies
57376901145	Initial Meeting	Secure 360 Inc.
52033968999	On Hold	Security Management Systems
54968084096	BROKER	SEMM Holdings
54711465007	Pass	Silent Guardian
50938358950	Pass	Simon Security Systems
55460607404	On Hold	Sound Solutions
54589571376	On Hold	S&S Locksmiths
57761107043	Pass	STAT Fire Sprinkler Group
55771245164	Pass	Sure Lock & Key
50632383272	On Hold	Target Security
56463537306	Pass	Telephone Business Systems
57807680438	IOI	Telenet VoIP
52386382105	Pass	Teltech Security
57263001859	BROKER	The Advisory Investment Bank
56984395409	On Hold	Alarm Masters
54511382272	Pass	Thompson Lock & Supply
50627390027	On Hold	Top Lock Locksmiths and Security
52962343581	Pass	Trinity Wiring & Security Solutions
53948552325	Pass	Bulldog Security
55343768356	Pass	USA Central Station Alarm
57384634495	Pass	US Virtual Guard LLC
52386691853	Pass	Venture Security
50205116300	Pass	Vertex Security Systems
54755695622	On Hold	VIP Security & Consulting
57252746856	Pass	Wizard Works Security Systems
55592613957	Pass	Alarming Ideas
54896513280	On Hold	All Tech Alarms
55329538898	Pass	Argus 365
57248278909	Pass	City Wide Auto Locksmith
57248340841	On Hold	CRETO
53883896871	Pass	Live Guard Tech
58429141662	Initial Meeting	NY Fire Proof Door
52450999642	Pass	South East Banking Systems
55460939788	Initial Meeting	Zebra Lock and Security
